ID,Region,Country,,LEGENDE,,,
17_01,c,21,,Region,Code,Country ,Code
17_02,e,20,,Africa,a,Argentina,1
17_03,c,15,,Central Asia,b,Australia,2
17_04,e,20,,Europe,c,Austria,3
17_05,f,44,,Latin America,d,Bosnia and Herzegovina,4
17_07,c,21,,Middle East,e,Brazil,5
17_08,c,3,,North America,f,Bulgaria,6
17_09,e,20,,Oceania,g,Canada,7
17_10,c,32,,South East Asia,h,Chile,8
17_11,c,16,,,,Croatia,9
17_12,c,33,,,,Cuba,10
17_14,e,20,,,,Czech Republic,11
17_15,c,16,,,,Ecuador,12
17_16,e,43,,,,Estonia,13
17_17,c,16,,,,Europe,14
17_18,e,20,,,,Finland,15
17_19,c,21,,,,Germany,16
17_20,c,36,,,,Ghana,17
17_20,c,11,,,,Greece,18
17_21,f,44,,,,Indonesia,19
17_22,c,18,,,,Iran,20
17_23,c,21,,,,Italy,21
17_24,e,20,,,,Japan,22
17_25,c,31,,,,Latvia,23
17_26,c,21,,,,Lithuania,24
17_27,g,29,,,,Malaysia,25
17_28,c,15,,,,Mexico,26
17_29,h,25,,,,Mongolia,27
17_30,d,5,,,,Myanmar,28
17_31,c,33,,,,New Zealand,29
17_32,e,20,,,,Norway,30
17_33,c,24,,,,Poland,31
17_34,d,5,,,,Portugal,32
17_36,c,21,,,,Romania,33
17_37,c,21,,,,Russia,34
17_38,e,43,,,,Serbia,35
17_39,d,5,,,,Slovakia,36
17_40,c,33,,,,Slovenia,37
17_41,f,44,,,,South a,38
17_42,d,5,,,,South Korea,39
17_43,c,36,,,,Spain,40
17_44,e,20,,,,Sweden,41
17_45,c,21,,,,Thailand,42
17_46,c,33,,,,Turkey,43
17_47,d,5,,,,USA,44
17_48,d,5,,,,,
17_49,e,20,,,,,
17_50,c,31,,,,,
17_51,c,31,,,,,
17_52,e,20,,,,,
18_01,c,21,,,,,
18_02,c,4,,,,,
18_03,d,5,,,,,
18_04,e,20,,,,,
18_04,e,21,,,,,
18_04,c,20,,,,,
18_04,c,21,,,,,
18_05,f,44,,,,,
18_06,d,5,,,,,
18_07,e,20,,,,,
18_08,d,5,,,,,
18_09,f,44,,,,,
18_10,c,37,,,,,
18_11,c,5,,,,,
18_11,c,16,,,,,
18_11,d,5,,,,,
18_11,d,16,,,,,
18_12,f,7,,,,,
18_13,c,9,,,,,
18_14,c,41,,,,,
18_15,c,21,,,,,
18_16,c,21,,,,,
18_17,f,44,,,,,
18_18,c,16,,,,,
18_19,c,3,,,,,
18_20,h,22,,,,,
18_21,c,41,,,,,
18_22,d,8,,,,,
18_23,c,21,,,,,
18_24,c,21,,,,,
18_25,f,44,,,,,
18_26,c,31,,,,,
18_27,d,5,,,,,
18_28,d,5,,,,,
18_29,c,9,,,,,
18_30,c,36,,,,,
18_31,f,7,,,,,
18_32,h,42,,,,,
18_33,f,44,,,,,
18_34,c,33,,,,,
18_35,c,15,,,,,
18_36,c,30,,,,,
18_37,d,5,,,,,
18_38,c,11,,,,,
18_39,e,20,,,,,
18_40,h,19,,,,,
18_41,f,44,,,,,
18_42,c,41,,,,,
18_43,c,21,,,,,
18_44,h,39,,,,,
18_45,a,38,,,,,
18_46,e,43,,,,,
18_48,c,31,,,,,
18_49,f,44,,,,,
18_50,e,43,,,,,
18_51,d,8,,,,,
18_52,c,40,,,,,
18_53,h,42,,,,,
18_54,c,33,,,,,
18_55,d,5,,,,,
18_56,e,43,,,,,
18_57,e,20,,,,,
18_58,d,5,,,,,
18_59,c,23,,,,,
18_60,c,23,,,,,
18_61,c,23,,,,,
18_62,e,20,,,,,
18_63,d,5,,,,,
18_64,c,21,,,,,
18_65,d,5,,,,,
18_66,c,15,,,,,
18_67,d,5,,,,,
19_01,f,44,,,,,
19_02,h,19,,,,,
19_03,f,44,,,,,
19_05,d,5,,,,,
19_06,e,20,,,,,
19_07,h,19,,,,,
19_08,c,21,,,,,
19_09,c,15,,,,,
19_10,e,20,,,,,
19_10,e,21,,,,,
19_11,f,44,,,,,
19_12,e,20,,,,,
19_13,h,39,,,,,
19_14,d,5,,,,,
19_15,d,5,,,,,
19_16,c,21,,,,,
19_17,c,13,,,,,
19_18,e,43,,,,,
19_19,h,39,,,,,
19_20,h,19,,,,,
19_21,e,20,,,,,
19_21,e,21,,,,,
19_22,h,22,,,,,
19_23,c,9,,,,,
19_24,d,5,,,,,
19_25,c,36,,,,,
19_26,c,33,,,,,
19_27,h,19,,,,,
19_28,e,20,,,,,
19_29,d,5,,,,,
19_30,d,26,,,,,
19_31,f,7,,,,,
19_32,c,16,,,,,
19_33,e,43,,,,,
19_34,f,7,,,,,
19_35,c,15,,,,,
19_36,c,3,,,,,
19_37,a,38,,,,,
19_38,a,38,,,,,
19_39,c,21,,,,,
19_39,c,37,,,,,
19_40,d,5,,,,,
19_41,c,31,,,,,
19_42,c,40,,,,,
19_43,d,5,,,,,
19_44,g,2,,,,,
19_45,h,19,,,,,
19_46,c,16,,,,,
19_47,d,5,,,,,
19_48,h,25,,,,,
19_49,c,16,,,,,
19_50,c,41,,,,,
19_51,g,2,,,,,
19_52,c,31,,,,,
19_53,c,15,,,,,
19_54,c,9,,,,,
19_55,d,5,,,,,
19_56,f,7,,,,,
19_57,c,36,,,,,
20_01,g,2,,,,,
20_02,c,36,,,,,
20_03,h,28,,,,,
20_04,c,18,,,,,
20_05,c,33,,,,,
20_06,c,33,,,,,
20_07,c,16,,,,,
20_08,h,39,,,,,
20_09,c,14,,,,,
20_10,d,5,,,,,
20_11,c,21,,,,,
20_12,c,31,,,,,
20_13,c,9,,,,,
20_14,c,21,,,,,
20_15,h,19,,,,,
20_16,h,19,,,,,
20_17,f,44,,,,,
20_18,c,37,,,,,
20_19,c,33,,,,,
20_20,c,9,,,,,
20_21,f,44,,,,,
20_22,e,43,,,,,
20_23,c,15,,,,,
20_24,e,20,,,,,
20_25,c,41,,,,,
20_26,c,35,,,,,
20_27,c,16,,,,,
20_28,c,41,,,,,
20_29,c,33,,,,,
20_30,h,27,,,,,
20_31,c,40,,,,,
20_32,e,20,,,,,
20_33,c,31,,,,,
20_34,c,16,,,,,
20_35,f,44,,,,,
20_36,c,15,,,,,
20_37,b,34,,,,,
20_38,b,34,,,,,
20_39,b,34,,,,,
20_40,b,34,,,,,
20_41,e,20,,,,,
20_42,c,16,,,,,
20_43,d,5,,,,,
20_44,g,2,,,,,
20_45,e,20,,,,,
20_46,d,5,,,,,
20_47,c,21,,,,,
20_48,c,31,,,,,
20_49,h,39,,,,,
20_50,f,44,,,,,
20_51,c,9,,,,,
20_52,f,44,,,,,
20_53,d,5,,,,,
20_54,d,5,,,,,
20_55,d,5,,,,,
20_56,d,5,,,,,
20_57,d,5,,,,,
20_58,d,5,,,,,
20_59,d,12,,,,,
20_60,e,43,,,,,
20_61,c,23,,,,,
20_62,b,34,,,,,
20_63,b,34,,,,,
20_64,d,5,,,,,
20_65,d,5,,,,,
20_66,c,4,,,,,
20_67,b,34,,,,,
20_68,c,31,,,,,
20_69,b,34,,,,,
20_70,c,21,,,,,
20_71,c,31,,,,,
20_72,c,21,,,,,
20_73,c,31,,,,,
20_74,c,31,,,,,
20_75,b,34,,,,,
20_76,d,5,,,,,
20_77,c,9,,,,,
20_78,e,43,,,,,
20_79,c,21,,,,,
20_80,c,24,,,,,
20_81,d,5,,,,,
20_82,c,21,,,,,
20_83,c,21,,,,,
20_84,a,38,,,,,
20_85,d,5,,,,,
20_86,d,5,,,,,
20_87,e,20,,,,,
20_88,d,10,,,,,
20_89,d,1,,,,,
20_90,d,5,,,,,
20_91,f,44,,,,,
21_01,c,31,,,,,
21_02,e,20,,,,,
21_03,c,16,,,,,
21_04,b,34,,,,,
21_05,h,19,,,,,
21_06,h,19,,,,,
21_07,g,2,,,,,
21_08,h,39,,,,,
21_09,d,5,,,,,
21_10,c,41,,,,,
21_11,c,9,,,,,
21_12,c,15,,,,,
21_13,c,6,,,,,
21_14,c,6,,,,,
21_15,e,20,,,,,
21_16,c,40,,,,,
21_17,f,44,,,,,
21_18,d,26,,,,,
21_19,c,31,,,,,
21_20,e,20,,,,,
21_21,c,23,,,,,
21_22,c,40,,,,,
21_23,e,20,,,,,
21_24,h,19,,,,,
21_25,f,7,,,,,
21_26,c,21,,,,,
21_27,c,21,,,,,
21_28,c,31,,,,,
21_29,e,20,,,,,
21_30,f,44,,,,,
21_31,d,5,,,,,
21_32,c,9,,,,,
21_33,c,11,,,,,
21_34,c,33,,,,,
21_35,f,44,,,,,
21_36,f,44,,,,,
21_37,c,11,,,,,
21_38,d,5,,,,,
21_39,c,31,,,,,
21_40,c,16,,,,,
21_41,d,5,,,,,
21_42,c,6,,,,,
21_43,c,23,,,,,
21_44,h,19,,,,,
21_45,d,5,,,,,
21_46,c,21,,,,,
21_47,h,25,,,,,
21_48,f,44,,,,,
21_49,e,20,,,,,
21_50,a,17,,,,,
21_51,e,43,,,,,
21_52,c,15,,,,,
21_53,c,33,,,,,
21_54,d,5,,,,,
21_55,d,5,,,,,
21_56,c,33,,,,,
21_57,c,23,,,,,
21_58,c,21,,,,,
21_59,e,43,,,,,
21_60,d,5,,,,,
21_61,f,7,,,,,
21_62,e,20,,,,,
21_62,e,21,,,,,
21_62,c,20,,,,,
21_62,c,21,,,,,
21_63,c,11,,,,,
21_64,f,44,,,,,
21_65,g,2,,,,,
21_66,e,43,,,,,
21_67,e,20,,,,,
21_68,d,5,,,,,
21_70,d,5,,,,,
21_71,c,32,,,,,
22_01,f,44,,,,,
