"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-4,087702095	13,81204495	-4,793	1	37,02601905	28,51	22,81	25,2	47	6
-72,88694032	51,25995827	-11,169	2	43,70821622	27,08	21,18	44,3	92,7	7,8
-69,26794081	72,11950813	-18,08	3	36,61777236	30,12	24,42	44,8	83,3	8
-51,38842253	76,29967747	-22,043	4	15,2365977	31,8	28,6	16,9	28,6	4,9
-10,4286691	65,79456581	-23,685	5	31,65623495	2,25	0	0	0	0
-1,004868571	80,45135	-27,953	6	39,82842857	27,51	23,46	30,8	49,6	6,9
-56,49609724	59,69181926	-15,188	7	32,32796817	25,26	16,01	28,8	59,3	6,4
-48,08438366	65,8510378	-17,134	8	34,58709756	22,23	0	0	0	0
-10,43870388	65,78275463	-23,685	9	34,01359233	24,06	14,96	25,8	39,1	6
12,19334281	20,2600386	-8,791	10	29,33224561	26,19	18,19	18,4	35,8	5,2
-82,52116727	59,24802967	-12,812	11	29,66555024	28,79	22,34	45,6	79,4	8,7
-28,3535578	73,0433572	-23,515	12	47,78936	29,78	0	0	0	0
43,44931832	68,1433741	-29,632	13	26,48829517	23,16	19,51	24,7	35,9	6,2
-62,97282886	68,17276143	-17,519	14	31,7852	29,67	10,37	19,6	30,9	5,6
37,28330404	50,91232908	-23,818	15	19,08484301	20,6	17,65	8,8	28	3,8
37,23516757	66,34233168	-30,34	16	9,852624277	23,8	19,8	24,4	47,8	6,2
-76,40933902	62,31303154	-14,016	17	32,45543607	28,7	21,65	33	44,2	7,4
36,02300987	49,78807684	-23,308	18	17,14096774	17,17	0	0	0	0
-69,77472171	78,067894	-20,193	19	45,92382857	26,5	22,4	21,7	44,1	5,7
41,38155857	58,44027114	-26,169	20	10,49851429	7,22	0	0	0	0
-60,83622057	76,85279543	-20,976	21	33,28828571	23,87	22,07	39,3	73,3	7,8
15,34574587	19,97583034	-8,571	22	35,86204214	25,83	17,18	32,4	86,7	6,9
-73,4329002	73,3701328	-17,931	23	37,50912	28,61	17,66	35,8	62,4	7,3
-68,60442739	63,90117689	-15,244	24	32,76780235	28,43	16,48	16,6	32,8	4,8
39,41917619	44,57039238	-21,184	25	23,31253333	14,94	0	0	0	0
-73,73904855	80,21929638	-20,58	26	51,6246087	33,93	28,58	49,7	111,3	8,3
29,33550981	40,56272658	-18,951	27	7,016968944	4,91	0	0	0	0
16,27031057	15,53031343	-6,854	28	31,19211429	26,14	9,89	25,7	38,4	6,2
-44,1684896	74,53857296	-22,093	29	35,686512	29,11	23,81	27,8	51,5	6,5
-14,58476786	65,84750037	-22,826	30	43,82899831	30,92	18,62	42,1	85,9	7,7
-78,08363441	70,71	-16,506	31	30,52088136	25,34	12,29	21,5	41,5	5,5
43,10833729	65,2359548	-28,341	32	22,81645198	22,51	21,06	51	120,1	8,9
-48,60384152	49,22610324	-12,946	33	30,54140952	27,23	14,53	23,2	44,9	5,7
-5,413196132	81,30161598	-27,462	34	24,81910433	21,17	14,52	19,9	37,6	5,4
-71,50339476	57,05128286	-12,838	35	29,4987619	24,71	13,56	21,8	39,5	5,9
-55,03948414	57,21810414	-14,739	36	30,14372414	27,01	13,01	19,5	45	5,5
-54,39438755	76,8714649	-21,986	37	12,81061538	15,51	0	0	0	0
-75,20660599	68,36899514	-16,012	38	39,49584181	28,36	17,46	26,3	38	6,4
