"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-68,21670068	61,39562391	-52,341	1	56,14971429	38,74	37,64	34,8	87,6	6,9
-42,19841593	22,29488814	-26,887	2	4	9,54	0	0	0	0
-35,66054857	48,78942838	-39,52	3	34,5655619	33,07	15,77	20,1	39,2	5,8
-63,811228	60,68509933	-52,156	4	32,0572	33,07	10,92	19,4	40	5,5
-12,39504358	77,24231806	-42,336	5	38,38882324	24,77	0	0	0	0
-84,08833116	62,67181938	-54,48	6	35,50536944	35,08	28,13	30,9	68,8	6,7
-43,45665946	45,96339541	-40,544	7	48,5072973	37,16	17,16	36,7	69,8	7,5
-29,52118366	47,77308082	-36,592	8	39,01271398	7,44	0	0	0	0
-25,82151267	80,59336367	-51,735	9	38,73253333	28,63	21,03	27,5	68,6	6,4
-35,64954472	62,20546824	-44,265	10	28,18851502	30,43	0	0	0	0
-75,60631589	72,66518112	-58,699	11	52,36421184	31,76	21,11	38,1	113,1	7,2
-63,83902737	71,132852	-57,206	12	13,39031579	37	27,85	27,1	82	6
-62,80450732	3,661438659	-16,672	13	54,22863415	31,48	0	0	0	0
-47,87548267	12,41163467	-21,113	14	57,39253333	35,81	17,86	47,4	88,4	8,3
-45,04949761	40,88877161	-38,693	15	37,38832998	35,76	13,71	26,9	51,5	6,8
-92,01265714	49,73902457	-46,496	16	55,88270476	35,54	0	0	0	0
-68,96079619	74,36834876	-60,007	17	42,61211429	32,82	22,07	45,5	90,3	7,9
-93,82751185	58,72901398	-51,853	18	28,36999619	26,36	0	0	0	0
-83,54479257	57,81202571	-51,325	19	53,91571429	36,07	26,47	41,8	78,2	7,6
-72,90408841	73,25266903	-59,993	20	41,44350156	34,45	25,2	20,4	54,9	5,5
-78,19297493	43,280443	-42,594	21	41,39838571	32,12	22,57	28,4	54,4	6,3
-54,49800107	76,57974267	-56,498	22	37,28637333	30,56	22,11	30,5	63,9	6,7
-82,38238939	59,70660391	-53,089	23	27,91826816	30,39	14,24	20,2	64,7	5,5
-63,16261606	14,21862546	-22,629	24	5,016481928	1,5	0	0	0	0
15,04316711	-16,67449933	4,028	25	60	36,94	17,89	84,2	144,8	11
-43,49902229	83,77907886	-57,944	26	46,66224762	34,8	29,85	31,8	90,6	7
-34,33894197	53,87249423	-41,168	27	32,22233081	33,11	21,36	14,7	37,6	4,7
-68,69947	11,68062366	-21,301	28	37,86225743	1,57	0	0	0	0
-42,88247	79,38806	-55,661	29	16,698	0,64	0	0	0	0
-42,96844683	79,17753615	-55,212	30	22,736	35,12	25,32	35,7	94,7	7,4
-42,88422773	79,5017264	-55,675	31	11,2152	3,6	0	0	0	0
-48,14191589	90,12105144	-61,744	32	41,12251056	33,38	20,38	30,5	55,4	6,6
-77,894284	52,61685171	-48,232	33	38,15468571	27,16	0	0	0	0
-34,36197702	51,01104351	-40,14	34	27,72807018	33,33	20,63	9,3	25,3	3,7
-27,440446	85,34171829	-55,622	35	32,23291429	29,16	0	0	0	0
-71,4853691	13,69239645	-23,353	36	5,84765109	2,16	0	0	0	0
-72,662565	9,753753333	-21,022	37	6,941333333	1,43	0	0	0	0
-54,42445327	73,38996884	-55,302	38	31,06926285	31,01	20,16	19,2	41,9	5,2
-73,57656901	8,904678118	-20,227	39	11,31557117	1,42	0	0	0	0
5,222441524	-7,000438667	0,867	40	10,23980952	0,83	0	0	0	0
-47,48895232	80,04219899	-56,832	41	60,73173913	38,71	24,11	41	72,5	7,4
-17,82092298	77,67130238	-45,768	42	51,94472727	34,79	26,74	21,4	58,7	5,3
-89,07298	50,99806667	-47,217	43	36,809	27,42	20,12	29,4	55,5	6,4
-40,01723757	54,851973	-42,989	44	6,346742857	5,8	0	0	0	0
-70,08661831	10,52799649	-20,615	45	10,6209021	1,16	0	0	0	0
-41,45272492	93,44422701	-63,239	46	27,65820917	27,93	18,03	40,8	90	10
-88,87189632	60,67692382	-53,199	47	21,71957552	22,32	0	0	0	0
-89,04238067	71,26314307	-59,832	48	46,97533333	33,6	18,75	25,1	60	5,8
-65,83894297	81,18862365	-60,635	49	29,22321622	27,54	17,64	23,4	48,1	6,1
-72,31511771	83,26069743	-62,868	50	42,59497143	28,04	0	0	0	0
-37,40364779	75,15095502	-51,358	51	68,17137695	39,7	17,6	74,9	93,7	9,9
-95,9302225	52,33538372	-48,993	52	4,802617021	5,51	0	0	0	0
-47,03967	92,620915	-62,142	53	48,437	32,55	0	0	0	0
-81,16040829	79,16582743	-62,388	54	42,37325714	32,53	21,03	22,3	37,2	5,6
-85,85650115	75,32552365	-61,586	55	46,82416667	33,28	0	0	0	0
-44,76037486	84,80327676	-59,317	56	44,70990476	35,83	29,28	19	43,1	5,2
-14,75707055	84,74432859	-48,597	57	22,03492376	27,67	14,02	25,1	54,1	5,9
-56,52763129	69,05706172	-54,091	58	43,24407656	33,57	23,42	36,1	66,1	7
-94,4786539	71,09835181	-60,064	59	46,9167619	33,12	21,02	27,7	70,5	6,1
-74,63199702	8,745586495	-19,757	60	8,633656345	2,63	0	0	0	0
-96,535378	57,0680368	-51,579	61	36,21288	26,46	0	0	0	0
18,94053929	-23,30813357	6,452	62	11,00871429	5,33	0	0	0	0
-27,90749342	48,83765152	-36,375	63	50,04125067	3,31	0	0	0	0
-74,66555737	7,876728577	-19,478	64	9,761981624	1,37	0	0	0	0
-63,75294362	16,11237048	-24,34	65	11,14468571	1,27	0	0	0	0
19,48571503	-23,25741379	6,164	66	12,53649689	7,5	0	0	0	0
-74,28333457	7,8227	-19,87	67	8,418514286	1,91	0	0	0	0
-83,69356411	86,47225005	-66,32	68	38,6364335	30,69	19,99	32,2	63,7	6,7
-5,417156102	8,847342542	0,013	69	39,23176271	32,09	19,59	61,5	137,3	9,8
12,76777959	-21,76604565	6,521	70	10,02417344	5	0	0	0	0
-4,340797395	81,53936933	-42,289	71	36,92684034	32,98	19,63	30,1	70,1	6,4
-63,91497622	67,20044389	-55,718	72	38,61305946	30,7	0	0	0	0
-67,73621776	85,21727234	-62,259	73	23,64866044	23,48	0	0	0	0
-63,74153257	71,50158228	-57,317	74	46,33588119	12,34	0	0	0	0
-81,640238	94,99753433	-70,694	75	49,83113333	31,74	30,44	33,5	56,6	7,4
19,39062296	-24,72652904	6,34	76	11,93150118	8,98	0	0	0	0
-83,48467459	95,86970097	-71,232	77	41,86698378	36,55	18,55	26,9	61,7	6
-79,36001645	97,96536403	-71,81	78	43,14943236	34,04	20,99	24,4	56,9	5,9
-69,36194202	85,35868131	-62,546	79	12,47202381	14,4	8,5	8,1	18,6	3,6
-88,19360784	98,34736686	-73,226	80	42,614	29,92	11,97	26,7	50,4	6,1
17,704124	-24,08584267	6,406	81	14,94506667	9,85	0	0	0	0
-42,45386268	73,7884278	-51,844	82	55,80907317	37,67	30,87	50,2	114,9	8,3
-71,06100708	90,40291679	-63,752	83	28,54803934	20,29	0	0	0	0
-80,33854904	84,43096494	-64,034	84	34,85982118	26,93	16,23	24,1	45,6	5,7
18,16090623	-24,7980382	6,496	85	48,34897756	36,26	22,81	98,7	120,2	11,8
-16,80794933	93,58312933	-57,886	86	40,9304	34,57	0	0	0	0
