"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"	"tile"	"scanID"
-47,31903543	-0,161325007	-6,915	1	16,46948025	15,79	10,69	12,4	24,9	4,4	"tile_6_14"	1
-94,36792495	11,39824752	-17,797	2	33,51927619	25,61	16,61	21,9	38,9	5,5	"tile_4_15"	1
-67,42276766	-48,83558553	-45,107	3	9,150079027	10,85	0	0	0	0	"tile_5_12"	1
-54,82023165	-55,6823992	-44,841	4	28,1982008	25,84	19,39	15,2	36,2	4,8	"tile_6_12"	1
-83,1385581	-45,32396143	-46,857	5	27,54304762	27,41	15,36	15,7	32,5	4,6	"tile_4_12"	1
-80,35905771	9,963523714	-13,875	6	36,14314286	28,15	22,55	26,2	54,7	6,1	"tile_4_15"	1
-85,74823845	-49,86448833	-50,113	7	31,06997647	25,49	0	0	0	0	"tile_4_12"	1
-49,45262041	-74,53594555	-54,032	8	27,27679702	21,7	9,7	9,5	22	3,7	"tile_6_11"	1
-40,49285867	-8,675665333	-10,108	9	14,5396	22,44	0	0	0	0	"tile_6_14"	1
-48,55960087	-69,5918005	-51,259	10	24,80198758	19,96	0	0	0	0	"tile_6_11"	1
-50,93490377	-63,01901745	-48,858	11	45,75953902	32,73	18,98	31,6	45	6,6	"tile_6_11"	1
-63,50053453	-55,68093328	-48,303	12	25,6515493	26,99	20,84	14	24,1	4,5	"tile_5_12"	1
-76,20860237	-3,023503132	-18,602	13	29,72785873	26,12	18,67	22,7	63	5,7	"tile_4_14"	1
-53,71901192	-51,27412288	-42,143	14	33,24	25,26	21,71	13,1	40,3	4,4	"tile_6_12"	1
-45,604324	-58,63077474	0	15	24,10391579	NA	NA	NA	NA	NA	"tile_6_11"	NA
-83,8282019	-50,61679398	-49,783	16	25,19369897	24,35	19,9	17,6	41,5	5,1	"tile_4_12"	1
-78,35223457	-45,878152	-45,284	17	24,29954286	22,96	9,81	6	11,2	3	"tile_4_12"	1
-77,15295485	-46,67370661	-45,291	18	11,79239485	12,17	7,62	4,8	11,4	2,7	"tile_4_12"	1
-58,94218307	-65,92558221	-52,553	19	43,41926084	24,7	18,1	27,7	52,1	6,1	"tile_5_11"	1
-123,7195611	13,190056	-28,28	20	43,90205405	20,16	0	0	0	0	"tile_2_15"	1
-56,86714898	-56,86560704	-46,477	21	25,89763265	25,32	15,02	13,8	20,1	4,6	"tile_5_11"	1
-43,31351733	-72,20649067	-51,437	22	41,33946667	29,95	26,2	31,8	50	6,7	"tile_6_11"	1
-54,26778364	-61,69090212	-48,686	23	19,74860606	14,03	11,28	7,2	6,8	3,4	"tile_6_11"	1
-56,00526956	-20,16620899	-22,523	24	24	26	11,8	16,2	28,3	4,9	"tile_6_13"	1
-57,5693372	-60,068407	-48,737	25	38,94592	26,99	0	0	0	0	"tile_5_11"	1
-77,21586705	5,706060571	-14,698	26	29,16213333	26,42	10,62	7,5	10,8	3,4	"tile_4_15"	1
-46,88449602	-67,07276435	-49,47	27	22,80496894	22,69	13,24	16,1	35,1	4,7	"tile_6_11"	1
-48,76024043	-56,2538313	-43,331	28	37,59176087	29,14	0	0	0	0	"tile_6_11"	1
-77,66300974	-51,26106313	-48,147	29	7,149828571	11,42	3,02	2,3	2,6	1,9	"tile_4_12"	1
-41,49637034	-15,68780249	-14,9	30	25,69852716	23,51	4,41	11,4	9,2	4,9	"tile_6_14"	1
-61,04655912	-69,52005973	-56,085	31	35,46699178	31,51	27,01	30,7	67,2	6,5	"tile_5_11"	1
-51,56717574	-64,52262255	-49,872	32	4,417787234	8,55	0	0	0	0	"tile_6_11"	1
-46,97660988	-64,24707375	-47,599	33	10,187425	4,43	0	0	0	0	"tile_6_11"	1
-62,7305704	-58,01040133	-49,202	34	29,53312	28,72	21,92	19,2	38,7	5,4	"tile_5_11"	1
-49,60434429	-53,27869343	-42,324	35	6,360285714	11,97	8,37	10	11,5	3,8	"tile_6_12"	1
-70,80558831	-44,80423578	-41,982	36	7,11346988	11,44	4,34	3,2	3,8	2,2	"tile_5_12"	1
-63,0315752	-64,18339985	-52,772	37	39,33379655	31,02	26,72	34	82,6	7	"tile_5_11"	1
-79,28688377	-48,16405753	-47,149	38	21,54031169	23,42	10,42	10,1	23,9	3,9	"tile_4_12"	1
-54,31509645	-73,74237909	-55,405	39	9,558272727	9,11	2,46	4,8	3,8	2,7	"tile_6_11"	1
-73,6356678	-48,05842935	-45,351	40	5,836422764	5,59	0	0	0	0	"tile_5_12"	1
-84,34380102	10,99600071	-15,626	41	8,991020408	8,4	0	0	0	0	"tile_4_15"	1
-68,32489353	-53,59298941	-47,336	42	7,741058824	12,86	10,31	5,6	12,8	2,9	"tile_5_12"	1
