"";"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
"1";-4,087702095;13,81204495;-4,793;1;37,02601905;28,51;22,81;25,2;47;6;0,452307201386711;1,38846405654961
"2";-72,88694032;51,25995827;-11,169;2;43,70821622;27,08;21,18;44,3;92,7;7,8;0,428229746347698;1,73996911164731
"3";-69,26794081;72,11950813;-18,08;3;36,61777236;30,12;24,42;44,8;83,3;8;0,457505978129539;1,45119396333515
"4";-51,38842253;76,29967747;-22,043;4;15,2365977;31,8;28,6;16,9;28,6;4,9;0,556924629808721;0,322915898575359
"5";-10,4286691;65,79456581;-23,685;5;31,65623495;2,25;0;0;0;0;-0,31762131371494;-0,0562471547072975
"6";-1,004868571;80,45135;-27,953;6;39,82842857;27,51;23,46;30,8;49,6;6,9;0,440735913961907;1,51058530692923
"7";-56,49609724;59,69181926;-15,188;7;32,32796817;25,26;16,01;28,8;59,3;6,4;0,460245858127355;0,95426706720349
"8";-48,08438366;65,8510378;-17,134;8;34,58709756;22,23;0;0;0;0;0,440822211471499;0,920706164347805
"9";-10,43870388;65,78275463;-23,685;9;34,01359233;24,06;14,96;25,8;39,1;6;0,449830494583509;0,983420828338221
"10";12,19334281;20,2600386;-8,791;10;29,33224561;26,19;18,19;18,4;35,8;5,2;0,475345286710764;0,84125023298622
"11";-82,52116727;59,24802967;-12,812;11;29,66555024;28,79;22,34;45,6;79,4;8,7;0,48034736567066;0,955854470567344
"12";-28,3535578;73,0433572;-23,515;12;47,78936;29,78;0;0;0;0;0,425027361451029;2,27035564021184
"13";43,44931832;68,1433741;-29,632;13;26,48829517;23,16;19,51;24,7;35,9;6,2;0,47957089507344;0,612053335591256
"14";-62,97282886;68,17276143;-17,519;14;31,7852;29,67;10,37;19,6;30,9;5,6;0,473780040666667;1,11540884867584
"15";37,28330404;50,91232908;-23,818;15;19,08484301;20,6;17,65;8,8;28;3,8;0,514417410768784;0,303144675458315
"16";37,23516757;66,34233168;-30,34;16;9,852624277;23,8;19,8;24,4;47,8;6,2;0,56004122156613;0,101622687452188
"17";-76,40933902;62,31303154;-14,016;17;32,45543607;28,7;21,65;33;44,2;7,4;0,468995242557837;1,11356382151514
"18";36,02300987;49,78807684;-23,308;18;17,14096774;17,17;0;0;0;0;0,516253460065258;0,204547335716277
"19";-69,77472171;78,067894;-20,193;19;45,92382857;26,5;22,4;21,7;44,1;5,7;0,420516987895209;1,84584604114307
"20";41,38155857;58,44027114;-26,169;20;10,49851429;7,22;0;0;0;0;0,545419090032949;0,0340889089030605
"21";-60,83622057;76,85279543;-20,976;21;33,28828571;23,87;22,07;39,3;73,3;7,8;0,451960234507183;0,93891307359835
"22";15,34574587;19,97583034;-8,571;22;35,86204214;25,83;17,18;32,4;86,7;6,9;0,448824309003521;1,17101023658741
"23";-73,4329002;73,3701328;-17,931;23;37,50912;28,61;17,66;35,8;62,4;7,3;0,450976410489539;1,42572352382348
"24";-68,60442739;63,90117689;-15,244;24;32,76780235;28,43;16,48;16,6;32,8;4,8;0,467162093265286;1,12002822610072
"25";39,41917619;44,57039238;-21,184;25;23,31253333;14,94;0;0;0;0;0,458176112342295;0,292180926486181
"26";-73,73904855;80,21929638;-20,58;26;51,6246087;33,93;28,58;49,7;111,3;8,3;0,425427677593893;3,02143341320513
"27";29,33550981;40,56272658;-18,951;27;7,016968944;4,91;0;0;0;0;0,594876297258769;0,0112952837981025
"28";16,27031057;15,53031343;-6,854;28;31,19211429;26,14;9,89;25,7;38,4;6,2;0,467381457622354;0,933590814800476
"29";-44,1684896;74,53857296;-22,093;29;35,686512;29,11;23,81;27,8;51,5;6,5;0,458291516249983;1,33438794167236
"30";-14,58476786;65,84750037;-22,826;30;43,82899831;30,92;18,62;42,1;85,9;7,7;0,437877159414097;2,04270075329506
"31";-78,08363441;70,71;-16,506;31;30,52088136;25,34;12,29;21,5;41,5;5,5;0,467860587759178;0,867375389266655
"32";43,10833729;65,2359548;-28,341;32;22,81645198;22,51;21,06;51;120,1;8,9;0,497209155758141;0,457615489723898
"33";-48,60384152;49,22610324;-12,946;33;30,54140952;27,23;14,53;23,2;44,9;5,7;0,472965871056305;0,943507765261791
"34";-5,413196132;81,30161598;-27,462;34;24,81910433;21,17;14,52;19,9;37,6;5,4;0,481343763158315;0,492990213072009
"35";-71,50339476;57,05128286;-12,838;35;29,4987619;24,71;13,56;21,8;39,5;5,9;0,470364362161513;0,794336672140667
"36";-55,03948414;57,21810414;-14,739;36;30,14372414;27,01;13,01;19,5;45;5,5;0,474052739043884;0,913765883576735
"37";-54,39438755;76,8714649;-21,986;37;12,81061538;15,51;0;0;0;0;0,544325391906949;0,10881787926934
"38";-75,20660599;68,36899514;-16,012;38;39,49584181;28,36;17,46;26,3;38;6,4;0,444053027076936;1,54288548151565
"39";18,46241686;15,23911829;-7,295;39;43,18948571;31,31;15,81;31,5;70,4;6,8;0,440478146845512;2,02047453459037
"40";39,12676205;50,21100335;-23,605;40;20,74873514;24,19;22,84;23,3;56,4;5,8;0,514013299322018;0,420419991790533
"41";-81,83119029;76,86007086;-18,304;41;36,65611429;29,37;21,62;38,2;71,1;7,5;0,455641427886548;1,41224447361685
"42";38,91369103;67,48351862;-30,545;42;11,8837931;10,06;0;0;0;0;0,534736947438478;0,0596675517787892
"43";40,8592948;69,02495296;-30,682;43;10,49616842;16,38;14,43;18,8;39,4;5,1;0,555342582714278;0,0787093518150663
"44";-70,22907105;42,54436267;-8,437;44;39,18662857;27,85;26,05;79,8;117,6;10,8;0,44365156949427;1,49016000858052
"45";-33,62195517;76,29465997;-24,483;45;8,245523501;5,23;0;0;0;0;0,572224057198403;0,0159806393382255
"46";-67,33198629;85,80603924;-22,031;46;33,7679619;28,22;0;0;0;0;0,46291994991884;1,16993702827641
"47";-83,8024061;77,79970933;-18,074;47;48,82998095;30,39;25,19;32,1;54,4;6,9;0,424032729007724;2,41319863005861
"48";40,14995148;53,76626258;-24,566;48;13,73406452;14,1;0;0;0;0;0,532490275916635;0,111229207243951
"49";-82,39314744;79,99763899;-19,541;49;21,22822535;17,77;15,87;26,9;57;6,1;0,488944521705562;0,307513560857807
"50";-32,24943233;76,05351904;-24,422;50;12,53671233;10,09;8,99;9,8;17,8;10,2;0,526607442820659;0,065589657285423
"51";-79,76816705;66,71367219;-15,072;51;33,59611429;28,12;24,82;26,4;43,3;6,6;0,463302694311895;1,1549099515411
"52";-79,9451331;56,1694051;-11,874;52;17,65217391;11,02;0;0;0;0;0,472665927344909;0,127474162595198
"53";-72,68803322;87,88452747;-22,015;53;26,77157082;31,18;0;0;0;0;0,497764547745825;0,873650363868707
"54";-81,41123421;79,6238293;-19,392;54;8,470473684;7,83;0;0;0;0;0,565825074347097;0,0249660150310902
"55";4,892670286;11,43097257;-4,062;55;43,12622857;28,57;25,82;41,1;76,1;7,8;0,434017000234265;1,81129764880363
"56";-83,8238581;69,26220571;-15,426;56;29,21721905;26,55;18,8;15,8;20,1;4,8;0,476805465862959;0,848737488520413
